ID1,EstimationDate,id,EstimationRunStepId,NetworkNodeId,name
1,2021-02-27 14:00:00.000,6920141,8930,8489,100003737/1
2,2021-02-27 14:00:00.000,6920263,8930,9096,100003737/2
3,2021-02-27 14:00:00.000,6920335,8930,6856,101462290/1
4,2021-02-27 14:00:00.000,6920171,8930,6930,101462290/2
5,2021-02-27 14:00:00.000,6920166,8930,6832,101462292/1
6,2021-02-27 14:00:00.000,6920184,8930,8481,101462292/2
7,2021-02-27 14:00:00.000,6920011,8930,7221,102389203/1
8,2021-02-27 14:00:00.000,6920202,8930,7822,102389203/2
9,2021-02-27 14:00:00.000,6920075,8930,8678,102389204/1
10,2021-02-27 14:00:00.000,6920059,8930,8171,102389204/2
11,2021-02-27 14:00:00.000,6920377,8930,8392,102389206/1
12,2021-02-27 14:00:00.000,6920212,8930,8821,102389206/2
13,2021-02-27 14:00:00.000,6920348,8930,7046,102389207/1
14,2021-02-27 14:00:00.000,6920048,8930,8565,102389207/2
15,2021-02-27 14:00:00.000,6920361,8930,7996,102468635/1
16,2021-02-27 14:00:00.000,6920021,8930,8555,102468635/2
17,2021-02-27 14:00:00.000,6920064,8930,7334,102468636/1
18,2021-02-27 14:00:00.000,6920043,8930,6671,102468638/1
19,2021-02-27 14:00:00.000,6920255,8930,7278,102468638/2
20,2021-02-27 14:00:00.000,6920164,8930,7447,102468639/1
21,2021-02-27 14:00:00.000,6920034,8930,6452,102468641/1
22,2021-02-27 14:00:00.000,6920131,8930,8418,102468641/2
23,2021-02-27 14:00:00.000,6920265,8930,8160,102524863/1
24,2021-02-27 14:00:00.000,6920209,8930,8198,102524863/2
25,2021-02-27 14:00:00.000,6920275,8930,7416,102570061/1
26,2021-02-27 14:00:00.000,6920057,8930,8144,102570061/2
27,2021-02-27 14:00:00.000,6920248,8930,7115,102570062/1
28,2021-02-27 14:00:00.000,6920122,8930,8453,102570062/2
29,2021-02-27 14:00:00.000,6920208,8930,8435,102570063/1
30,2021-02-27 14:00:00.000,6920301,8930,7260,102570064/1
31,2021-02-27 14:00:00.000,6920315,8930,7429,102570064/2
32,2021-02-27 14:00:00.000,6920257,8930,8905,102570065/1
33,2021-02-27 14:00:00.000,6920327,8930,8989,102570065/2
34,2021-02-27 14:00:00.000,6920287,8930,8251,102589802/1
35,2021-02-27 14:00:00.000,6920103,8930,8230,102589802/2
36,2021-02-27 14:00:00.000,6920179,8930,6559,102589803/1
37,2021-02-27 14:00:00.000,6920357,8930,9048,102589812/1
38,2021-02-27 14:00:00.000,6920313,8930,8778,102589812/2
39,2021-02-27 14:00:00.000,6920389,8930,7222,102589813/1
40,2021-02-27 14:00:00.000,6920392,8930,8400,102589813/2
41,2021-02-27 14:00:00.000,6920324,8930,8868,102589815/1
42,2021-02-27 14:00:00.000,6919989,8930,9062,102616462/1
43,2021-02-27 14:00:00.000,6920144,8930,7738,102616462/2
44,2021-02-27 14:00:00.000,6920109,8930,8292,102640175/1
45,2021-02-27 14:00:00.000,6920119,8930,6784,102640175/2
46,2021-02-27 14:00:00.000,6920120,8930,7855,102660775/1
47,2021-02-27 14:00:00.000,6920071,8930,6229,102660775/2
48,2021-02-27 14:00:00.000,6920140,8930,6343,102660777/1
49,2021-02-27 14:00:00.000,6920006,8930,7659,102660777/2
50,2021-02-27 14:00:00.000,6920254,8930,8543,102660778/1
51,2021-02-27 14:00:00.000,6920297,8930,6868,102660778/2
